PPid	species_name	UPID	isRP	clusters	in_fasta
pp1308	Streptococcus thermophilus	UP000509242	f	2063	115
pp1308	Streptococcus thermophilus	UP000004150	f	1387	113
pp1308	Streptococcus thermophilus	UP000294787	f	2095	104
pp1308	Streptococcus thermophilus	UP001212891	f	1606	73
pp1308	Streptococcus thermophilus	UP000228719	f	1723	70
pp1308	Streptococcus thermophilus	UP000024500	f	1683	67
pp1308	Streptococcus thermophilus	UP000509833	f	1952	56
pp1308	Streptococcus thermophilus	UP000237380	f	1871	50
pp1308	Streptococcus thermophilus	UP000093387	f	1640	47
pp1308	Streptococcus thermophilus	UP000320900	f	1783	45
pp1308	Streptococcus thermophilus	UP000034484	f	1832	43
pp1308	Streptococcus thermophilus	UP000011634	f	1673	43
pp1308	Streptococcus thermophilus	UP000501029	f	1635	39
pp1308	Streptococcus thermophilus	UP000215769	f	1669	39
pp1308	Streptococcus thermophilus	UP000050115	f	1930	39
pp1308	Streptococcus thermophilus	UP000509238	f	2027	36
pp1308	Streptococcus thermophilus	UP001720954	f	1662	27
pp1308	Streptococcus thermophilus	UP000509356	f	1996	27
pp1308	Streptococcus thermophilus	UP000056125	f	1655	27
pp1308	Streptococcus thermophilus	UP000720125	f	1526	26
pp1308	Streptococcus thermophilus	UP000671934	f	1648	26
pp1308	Streptococcus thermophilus	UP000501321	f	1757	26
pp1308	Streptococcus thermophilus	UP000001008	f	1851	26
pp1308	Streptococcus thermophilus	UP000509543	f	2017	25
pp1308	Streptococcus thermophilus	UP000509138	f	1974	25
pp1308	Streptococcus thermophilus	UP000024491	f	1801	24
pp1308	Streptococcus thermophilus	UP000181792	f	1676	22
pp1308	Streptococcus thermophilus	UP000509189	f	1932	21
pp1308	Streptococcus thermophilus	UP000189654	f	1672	21
pp1308	Streptococcus thermophilus	UP000032031	f	1847	20
pp1308	Streptococcus thermophilus	UP000229006	f	1667	20
pp1308	Streptococcus thermophilus	UP000196557	f	1525	20
pp1308	Streptococcus thermophilus	UP000509196	f	1967	19
pp1308	Streptococcus thermophilus	UP000474910	f	1605	18
pp1308	Streptococcus thermophilus	UP000217552	f	1568	18
pp1308	Streptococcus thermophilus	UP000032030	f	1693	16
pp1308	Streptococcus thermophilus	UP001656905	f	1606	15
pp1308	Streptococcus thermophilus	UP001581555	f	1711	15
pp1308	Streptococcus thermophilus	UP000258793	f	1526	15
pp1308	Streptococcus thermophilus	UP000252010	f	2026	15
pp1308	Streptococcus thermophilus	UP000671955	f	1622	14
pp1308	Streptococcus thermophilus	UP000509290	f	1956	14
pp1308	Streptococcus thermophilus	UP000509224	f	1985	13
pp1308	Streptococcus thermophilus	UP000000772	f	1663	13
pp1308	Streptococcus thermophilus	UP000033055	f	1949	12
pp1308	Streptococcus thermophilus	UP000663944	f	1637	12
pp1308	Streptococcus thermophilus	UP000509374	f	1919	12
pp1308	Streptococcus thermophilus	UP001556484	f	1621	11
pp1308	Streptococcus thermophilus	UP000509333	f	1998	11
pp1308	Streptococcus thermophilus	UP001581724	f	1579	10
pp1308	Streptococcus thermophilus	UP001581609	f	1660	10
pp1308	Streptococcus thermophilus	UP001581570	f	1593	10
pp1308	Streptococcus thermophilus	UP000711038	f	1727	10
pp1308	Streptococcus thermophilus	UP000509297	f	1929	10
pp1308	Streptococcus thermophilus	UP000231173	f	1701	10
pp1308	Streptococcus thermophilus	UP000176717	f	1869	10
pp1308	Streptococcus thermophilus	UP000465069	f	1681	9
pp1308	Streptococcus thermophilus	UP001721007	f	1711	8
pp1308	Streptococcus thermophilus	UP000509632	f	1948	8
pp1308	Streptococcus thermophilus	UP000440607	f	1493	8
pp1308	Streptococcus thermophilus	UP001720956	f	1719	7
pp1308	Streptococcus thermophilus	UP000745045	f	1607	7
pp1308	Streptococcus thermophilus	UP000509671	f	1989	7
pp1308	Streptococcus thermophilus	UP000480110	f	1619	7
pp1308	Streptococcus thermophilus	UP000246071	f	1658	6
pp1308	Streptococcus thermophilus	UP000008716	f	1851	5
pp1308	Streptococcus thermophilus	UP001721005	f	1675	5
pp1308	Streptococcus thermophilus	UP001196473	f	1590	5
pp1308	Streptococcus thermophilus	UP000777764	f	1650	5
pp1308	Streptococcus thermophilus	UP000760854	f	1630	5
pp1308	Streptococcus thermophilus	UP000750455	f	1587	5
pp1308	Streptococcus thermophilus	UP000708090	f	1597	5
pp1308	Streptococcus thermophilus	UP000509819	f	1980	5
pp1308	Streptococcus thermophilus	UP000245688	f	1635	5
pp1308	Streptococcus thermophilus	UP001656888	f	1585	4
pp1308	Streptococcus thermophilus	UP001152941	f	1663	4
pp1308	Streptococcus thermophilus	UP000749724	f	1579	4
pp1308	Streptococcus thermophilus	UP000585358	f	1505	4
pp1308	Streptococcus thermophilus	UP000509648	f	2255	4
pp1308	Streptococcus thermophilus	UP000032032	f	1793	4
pp1308	Streptococcus thermophilus	UP000310525	f	1655	4
pp1308	Streptococcus thermophilus	UP000256515	f	1551	4
pp1308	Streptococcus thermophilus	UP000059649	f	1656	4
pp1308	Streptococcus thermophilus	UP001720955	f	1649	3
pp1308	Streptococcus thermophilus	UP001668261	f	1574	3
pp1308	Streptococcus thermophilus	UP001661181	f	1541	3
pp1308	Streptococcus thermophilus	UP001661180	f	1499	3
pp1308	Streptococcus thermophilus	UP001211702	f	1587	3
pp1308	Streptococcus thermophilus	UP001202761	f	1600	3
pp1308	Streptococcus thermophilus	UP001199522	f	1593	3
pp1308	Streptococcus thermophilus	UP000671980	f	1606	3
pp1308	Streptococcus thermophilus	UP000509541	f	2230	3
pp1308	Streptococcus thermophilus	UP000509528	f	1951	3
pp1308	Streptococcus thermophilus	UP000509484	f	1963	3
pp1308	Streptococcus thermophilus	UP000229341	f	1669	3
pp1308	Streptococcus thermophilus	UP000024767	f	1679	3
pp1308	Streptococcus thermophilus	UP000002911	f	1844	3
pp1308	Streptococcus thermophilus	UP001854977	f	1581	2
pp1308	Streptococcus thermophilus	UP001661143	f	1575	2
pp1308	Streptococcus thermophilus	UP001661125	f	1598	2
pp1308	Streptococcus thermophilus	UP001274194	f	1609	2
pp1308	Streptococcus thermophilus	UP001212832	f	1760	2
pp1308	Streptococcus thermophilus	UP001159575	f	1558	2
pp1308	Streptococcus thermophilus	UP001059124	f	1722	2
pp1308	Streptococcus thermophilus	UP000788676	f	1607	2
pp1308	Streptococcus thermophilus	UP000745059	f	1662	2
pp1308	Streptococcus thermophilus	UP000711687	f	1616	2
pp1308	Streptococcus thermophilus	UP000672043	f	1621	2
pp1308	Streptococcus thermophilus	UP000671996	f	1625	2
pp1308	Streptococcus thermophilus	UP000509558	f	2011	2
pp1308	Streptococcus thermophilus	UP000509526	f	1953	2
pp1308	Streptococcus thermophilus	UP000509433	f	1973	2
pp1308	Streptococcus thermophilus	UP000011643	f	1697	2
pp1308	Streptococcus thermophilus	UP001668206	f	1651	1
pp1308	Streptococcus thermophilus	UP001661182	f	1610	1
pp1308	Streptococcus thermophilus	UP001661161	f	1593	1
pp1308	Streptococcus thermophilus	UP001661160	f	1589	1
pp1308	Streptococcus thermophilus	UP001656904	f	1627	1
pp1308	Streptococcus thermophilus	UP001557303	f	1629	1
pp1308	Streptococcus thermophilus	UP001229364	f	1473	1
pp1308	Streptococcus thermophilus	UP001211941	f	1615	1
pp1308	Streptococcus thermophilus	UP001211656	f	1548	1
pp1308	Streptococcus thermophilus	UP001164124	f	1642	1
pp1308	Streptococcus thermophilus	UP000788525	f	1599	1
pp1308	Streptococcus thermophilus	UP000773208	f	1606	1
pp1308	Streptococcus thermophilus	UP000701270	f	1622	1
pp1308	Streptococcus thermophilus	UP000672018	f	1624	1
pp1308	Streptococcus thermophilus	UP000509334	f	2066	1
pp1308	Streptococcus thermophilus	UP000289012	f	1610	1
pp1308	Streptococcus thermophilus	UP000230261	f	1725	1
pp1308	Streptococcus thermophilus	UP000027085	f	1664	1
pp1308	Streptococcus thermophilus	UP001164304	f	1573	0
pp1308	Streptococcus thermophilus	UP001224176	f	1608	0
pp1308	Streptococcus thermophilus	UP001228736	f	1615	0
pp1308	Streptococcus thermophilus	UP001195996	f	1612	0
pp1308	Streptococcus thermophilus	UP000037010	f	1712	0
pp1308	Streptococcus thermophilus	UP000092550	f	1659	0
pp1308	Streptococcus thermophilus	UP000078577	f	1688	0
pp1308	Streptococcus thermophilus	UP000181738	f	1667	0
pp1308	Streptococcus thermophilus	UP001164217	f	1589	0
pp1308	Streptococcus thermophilus	UP001217633	f	1601	0
pp1308	Streptococcus thermophilus	UP000509691	f	1951	0
pp1308	Streptococcus thermophilus	UP000502131	f	1630	0
pp1308	Streptococcus thermophilus	UP001668284	f	1571	0
pp1308	Streptococcus thermophilus	UP001661164	f	1529	0
pp1308	Streptococcus thermophilus	UP001661183	f	1608	0
pp1308	Streptococcus thermophilus	UP001661142	f	1574	0
pp1308	Streptococcus thermophilus	UP001661129	f	1592	0
pp1308	Streptococcus thermophilus	UP001661128	f	1620	0
pp1308	Streptococcus thermophilus	UP001661127	f	1567	0
pp1308	Streptococcus thermophilus	UP001661163	f	1488	0
pp1308	Streptococcus thermophilus	UP001721006	f	1600	0
pp1308	Streptococcus thermophilus	UP001656906	f	1618	0
pp1308	Streptococcus thermophilus	UP001674933	f	1507	0
pp1308	Streptococcus thermophilus	UP001668207	f	1649	0
pp1308	Streptococcus thermophilus	UP001668227	f	1588	0
pp1308	Streptococcus thermophilus	UP001674934	f	1571	0
pp1308	Streptococcus thermophilus	UP001674932	f	1610	0
pp1308	Streptococcus thermophilus	UP001668285	f	1514	0
pp1308	Streptococcus thermophilus	UP001668238	f	1614	0
pp1308	Streptococcus thermophilus	UP001668239	f	1579	0
pp1308	Streptococcus thermophilus	UP001581571	f	1546	0
pp1308	Streptococcus thermophilus	UP001661144	f	1615	0
pp1308	Streptococcus thermophilus	UP001661116	f	1605	0
pp1308	Streptococcus thermophilus	UP001668243	f	1602	0
pp1308	Streptococcus thermophilus	UP001472235	f	1575	0
pp1308	Streptococcus thermophilus	UP001330573	f	1553	0
pp1308	Streptococcus thermophilus	UP000767232	f	1615	0
pp1308	Streptococcus thermophilus	UP000831419	f	1609	0
pp1308	Streptococcus thermophilus	UP000766560	f	1610	0
pp1308	Streptococcus thermophilus	UP001084211	f	1609	0
pp1308	Streptococcus thermophilus	UP000735736	f	1632	0
pp1308	Streptococcus thermophilus	UP000671918	f	1597	0
pp1308	Streptococcus thermophilus	UP000787900	f	1606	0
pp1308	Streptococcus thermophilus	UP000761337	f	1587	0
pp1308	Streptococcus thermophilus	UP001855080	f	1590	0
pp1308	Streptococcus thermophilus	UP001581725	f	1584	0
pp1308	Streptococcus thermophilus	UP001581723	f	1616	0
pp1308	Streptococcus thermophilus	UP001555177	f	1601	0
pp1308	Streptococcus thermophilus	UP001661126	f	1588	0
pp1308	Streptococcus thermophilus	UP001556413	f	1611	0
pp1308	Streptococcus thermophilus	UP001661162	f	1628	0
pp1308	Streptococcus thermophilus	UP001668173	f	1563	0
pp1308	Streptococcus thermophilus	UP001661165	f	1592	0
pp1308	Streptococcus thermophilus	UP001661098	f	1562	0
pp1308	Streptococcus thermophilus	UP001668191	f	1649	0
pp1308	Streptococcus thermophilus	UP001668260	f	1654	0
pp1308	Streptococcus thermophilus	UP001721008	f	1698	0
pp1308	Streptococcus thermophilus	UP001670432	f	1656	0
pp1308	Streptococcus thermophilus	UP001668236	f	1574	0
pp1308	Streptococcus thermophilus	UP001661141	f	1557	0
pp1308	Streptococcus thermophilus	UP001668237	f	1562	0
pp1308	Streptococcus thermophilus	UP001668286	f	1540	0
pp1308	Streptococcus thermophilus	UP001668211	f	1550	0
pp1308	Streptococcus thermophilus	UP001855026	f	1588	0
pp1308	Streptococcus thermophilus	UP000509713	f	1941	0
pp1308	Streptococcus thermophilus	UP000501699	f	1635	0
pp1308	Streptococcus thermophilus	UP000509710	f	2032	0
pp1308	Streptococcus thermophilus	UP001376397	f	1547	0
pp1308	Streptococcus thermophilus	UP001352357	f	1556	0
pp1309	Streptococcus mutans	UP000002512	t	1948	1948
pp1309	Streptococcus mutans	UP000011522	f	1862	222
pp1309	Streptococcus mutans	UP000192490	f	1885	201
pp1309	Streptococcus mutans	UP000279045	f	1814	92
pp1309	Streptococcus mutans	UP000502411	f	1853	70
pp1309	Streptococcus mutans	UP001855060	f	1858	35
pp1309	Streptococcus mutans	UP000683486	f	1854	2
pp1309411	Deinococcus soli (ex Cha et al. 2016)	UP000034024	t	2929	2929
pp1309411	Deinococcus soli (ex Cha et al. 2016)	UP001252370	t	5140	2374
pp1309411	Deinococcus soli (ex Cha et al. 2016)	UP000628658	f	4660	1032
pp1309411	Deinococcus soli (ex Cha et al. 2016)	UP001185331	f	5015	98
pp1309411	Deinococcus soli (ex Cha et al. 2016)	UP001185340	f	5060	1
pp1310	Streptococcus sobrinus	UP000245369	t	1917	1917
pp1310	Streptococcus sobrinus	UP000016617	f	2199	433
pp1310	Streptococcus sobrinus	UP000011900	f	2016	181
pp1310	Streptococcus sobrinus	UP000216265	f	1925	121
pp1310	Streptococcus sobrinus	UP000246022	f	1891	37
pp1310	Streptococcus sobrinus	UP000245925	f	1842	32
pp1310	Streptococcus sobrinus	UP000246062	f	1845	0
pp1310165	Ralstonia pseudosolanacearum	UP000001436	t	4962	4962
pp1310165	Ralstonia pseudosolanacearum	UP000593970	f	4546	359
pp1310165	Ralstonia pseudosolanacearum	UP000249629	f	4968	351
pp1310165	Ralstonia pseudosolanacearum	UP000829012	f	4816	282
pp1310165	Ralstonia pseudosolanacearum	UP000011880	f	4701	271
pp1310165	Ralstonia pseudosolanacearum	UP000593811	f	4536	259
pp1310165	Ralstonia pseudosolanacearum	UP000184013	f	4856	250
pp1310165	Ralstonia pseudosolanacearum	UP000310553	f	4115	246
pp1310165	Ralstonia pseudosolanacearum	UP000249844	f	4796	202
pp1310165	Ralstonia pseudosolanacearum	UP001784966	f	5457	179
pp1310165	Ralstonia pseudosolanacearum	UP001163979	f	4828	177
pp1310165	Ralstonia pseudosolanacearum	UP000321320	f	4077	176
pp1310165	Ralstonia pseudosolanacearum	UP000249416	f	4880	165
pp1310165	Ralstonia pseudosolanacearum	UP001168194	f	4972	154
pp1310165	Ralstonia pseudosolanacearum	UP001784856	f	5304	153
pp1310165	Ralstonia pseudosolanacearum	UP001313771	f	5021	153
pp1310165	Ralstonia pseudosolanacearum	UP001727097	f	5012	152
pp1310165	Ralstonia pseudosolanacearum	UP001164050	f	4731	148
pp1310165	Ralstonia pseudosolanacearum	UP001168208	f	4885	144
pp1310165	Ralstonia pseudosolanacearum	UP001705453	f	4834	139
pp1310165	Ralstonia pseudosolanacearum	UP000198434	f	4515	131
pp1310165	Ralstonia pseudosolanacearum	UP000593865	f	4762	126
pp1310165	Ralstonia pseudosolanacearum	UP001548816	f	4652	111
pp1310165	Ralstonia pseudosolanacearum	UP001168108	f	4923	111
pp1310165	Ralstonia pseudosolanacearum	UP001779500	f	4843	109
pp1310165	Ralstonia pseudosolanacearum	UP001168226	f	4801	108
pp1310165	Ralstonia pseudosolanacearum	UP001483329	f	4890	107
pp1310165	Ralstonia pseudosolanacearum	UP001727254	f	4798	98
pp1310165	Ralstonia pseudosolanacearum	UP001168148	f	4920	97
pp1310165	Ralstonia pseudosolanacearum	UP001791112	f	5310	95
pp1310165	Ralstonia pseudosolanacearum	UP001168783	f	4874	94
pp1310165	Ralstonia pseudosolanacearum	UP000838337	f	4517	92
pp1310165	Ralstonia pseudosolanacearum	UP001727241	f	5032	91
pp1310165	Ralstonia pseudosolanacearum	UP001548873	f	4862	82
pp1310165	Ralstonia pseudosolanacearum	UP001776024	f	4594	81
pp1310165	Ralstonia pseudosolanacearum	UP001784830	f	5196	78
pp1310165	Ralstonia pseudosolanacearum	UP001548779	f	4862	75
pp1310165	Ralstonia pseudosolanacearum	UP001307507	f	4869	74
pp1310165	Ralstonia pseudosolanacearum	UP001779277	f	4867	73
pp1310165	Ralstonia pseudosolanacearum	UP001168759	f	4916	73
pp1310165	Ralstonia pseudosolanacearum	UP001164608	f	4551	72
pp1310165	Ralstonia pseudosolanacearum	UP001164052	f	4778	72
pp1310165	Ralstonia pseudosolanacearum	UP001784859	f	5003	71
pp1310165	Ralstonia pseudosolanacearum	UP001843693	f	4547	69
pp1310165	Ralstonia pseudosolanacearum	UP001784905	f	5241	69
pp1310165	Ralstonia pseudosolanacearum	UP001299643	f	4728	67
pp1310165	Ralstonia pseudosolanacearum	UP001168733	f	4939	62
pp1310165	Ralstonia pseudosolanacearum	UP001766893	f	4897	61
pp1310165	Ralstonia pseudosolanacearum	UP001784827	f	4880	59
pp1310165	Ralstonia pseudosolanacearum	UP001317274	f	4904	56
pp1310165	Ralstonia pseudosolanacearum	UP001727244	f	4962	55
pp1310165	Ralstonia pseudosolanacearum	UP001674929	f	4948	55
pp1310165	Ralstonia pseudosolanacearum	UP001794748	f	4954	54
pp1310165	Ralstonia pseudosolanacearum	UP001727096	f	4913	54
pp1310165	Ralstonia pseudosolanacearum	UP001300089	f	4813	54
pp1310165	Ralstonia pseudosolanacearum	UP001168764	f	4900	54
pp1310165	Ralstonia pseudosolanacearum	UP001674815	f	4831	53
pp1310165	Ralstonia pseudosolanacearum	UP001784879	f	4992	49
pp1310165	Ralstonia pseudosolanacearum	UP001650852	f	4871	47
pp1310165	Ralstonia pseudosolanacearum	UP001164606	f	4823	45
pp1310165	Ralstonia pseudosolanacearum	UP001300142	f	4600	42
pp1310165	Ralstonia pseudosolanacearum	UP001784878	f	5053	41
pp1310165	Ralstonia pseudosolanacearum	UP001318100	f	4676	41
pp1310165	Ralstonia pseudosolanacearum	UP000077558	f	4695	41
pp1310165	Ralstonia pseudosolanacearum	UP001674814	f	4864	40
pp1310165	Ralstonia pseudosolanacearum	UP000262427	f	4586	40
pp1310165	Ralstonia pseudosolanacearum	UP001796347	f	4869	39
pp1310165	Ralstonia pseudosolanacearum	UP001727228	f	4914	38
pp1310165	Ralstonia pseudosolanacearum	UP001784804	f	4867	37
pp1310165	Ralstonia pseudosolanacearum	UP001168772	f	4903	37
pp1310165	Ralstonia pseudosolanacearum	UP000266076	f	4592	37
pp1310165	Ralstonia pseudosolanacearum	UP001785023	f	5095	36
pp1310165	Ralstonia pseudosolanacearum	UP001217890	f	4993	36
pp1310165	Ralstonia pseudosolanacearum	UP001163988	f	4815	36
pp1310165	Ralstonia pseudosolanacearum	UP001056925	f	4731	36
pp1310165	Ralstonia pseudosolanacearum	UP001727215	f	4872	34
pp1310165	Ralstonia pseudosolanacearum	UP001164049	f	4769	31
pp1310165	Ralstonia pseudosolanacearum	UP001791142	f	4962	30
pp1310165	Ralstonia pseudosolanacearum	UP000271222	f	4911	30
pp1310165	Ralstonia pseudosolanacearum	UP001299973	f	4737	29
pp1310165	Ralstonia pseudosolanacearum	UP001674947	f	4952	28
pp1310165	Ralstonia pseudosolanacearum	UP001784817	f	4989	27
pp1310165	Ralstonia pseudosolanacearum	UP001168231	f	4958	27
pp1310165	Ralstonia pseudosolanacearum	UP001727218	f	4763	26
pp1310165	Ralstonia pseudosolanacearum	UP001694339	f	4899	25
pp1310165	Ralstonia pseudosolanacearum	UP001445960	f	4738	25
pp1310165	Ralstonia pseudosolanacearum	UP001784907	f	5003	24
pp1310165	Ralstonia pseudosolanacearum	UP001776029	f	5057	24
pp1310165	Ralstonia pseudosolanacearum	UP001784854	f	4920	23
pp1310165	Ralstonia pseudosolanacearum	UP001169170	f	4952	23
pp1310165	Ralstonia pseudosolanacearum	UP001317091	f	4775	22
pp1310165	Ralstonia pseudosolanacearum	UP000265998	f	4857	21
pp1310165	Ralstonia pseudosolanacearum	UP001219529	f	4978	20
pp1310165	Ralstonia pseudosolanacearum	UP001784857	f	5156	19
pp1310165	Ralstonia pseudosolanacearum	UP001317321	f	4725	19
pp1310165	Ralstonia pseudosolanacearum	UP001784858	f	5107	18
pp1310165	Ralstonia pseudosolanacearum	UP001727224	f	4774	18
pp1310165	Ralstonia pseudosolanacearum	UP001674930	f	4858	18
pp1310165	Ralstonia pseudosolanacearum	UP001168136	f	4795	18
pp1310165	Ralstonia pseudosolanacearum	UP001727162	f	4921	17
pp1310165	Ralstonia pseudosolanacearum	UP001784944	f	4981	15
pp1310165	Ralstonia pseudosolanacearum	UP001168230	f	4772	15
pp1310165	Ralstonia pseudosolanacearum	UP001784960	f	5055	14
pp1310165	Ralstonia pseudosolanacearum	UP001784906	f	5105	14
pp1310165	Ralstonia pseudosolanacearum	UP001776020	f	5132	14
pp1310165	Ralstonia pseudosolanacearum	UP001383435	f	4985	14
pp1310165	Ralstonia pseudosolanacearum	UP000077806	f	4694	14
pp1310165	Ralstonia pseudosolanacearum	UP001784965	f	5136	13
pp1310165	Ralstonia pseudosolanacearum	UP001784812	f	4908	12
pp1310165	Ralstonia pseudosolanacearum	UP001775985	f	4974	12
pp1310165	Ralstonia pseudosolanacearum	UP001776042	f	4859	12
pp1310165	Ralstonia pseudosolanacearum	UP001548869	f	4931	12
pp1310165	Ralstonia pseudosolanacearum	UP001230623	f	4901	12
pp1310165	Ralstonia pseudosolanacearum	UP001168765	f	4890	12
pp1310165	Ralstonia pseudosolanacearum	UP001779375	f	4898	11
pp1310165	Ralstonia pseudosolanacearum	UP001784873	f	5069	10
pp1310165	Ralstonia pseudosolanacearum	UP001316433	f	4870	10
pp1310165	Ralstonia pseudosolanacearum	UP001168115	f	4748	10
pp1310165	Ralstonia pseudosolanacearum	UP001784811	f	4836	9
pp1310165	Ralstonia pseudosolanacearum	UP001727168	f	4926	9
pp1310165	Ralstonia pseudosolanacearum	UP001383029	f	4880	9
pp1310165	Ralstonia pseudosolanacearum	UP001791143	f	5139	8
pp1310165	Ralstonia pseudosolanacearum	UP001784828	f	4898	8
pp1310165	Ralstonia pseudosolanacearum	UP001664306	f	4850	8
pp1310165	Ralstonia pseudosolanacearum	UP001168695	f	4904	8
pp1310165	Ralstonia pseudosolanacearum	UP001785021	f	5030	7
pp1310165	Ralstonia pseudosolanacearum	UP001779401	f	4945	7
pp1310165	Ralstonia pseudosolanacearum	UP001498202	f	4811	7
pp1310165	Ralstonia pseudosolanacearum	UP001222717	f	4801	7
pp1310165	Ralstonia pseudosolanacearum	UP001784948	f	4989	6
pp1310165	Ralstonia pseudosolanacearum	UP001784816	f	4958	6
pp1310165	Ralstonia pseudosolanacearum	UP001784897	f	5012	6
pp1310165	Ralstonia pseudosolanacearum	UP001784885	f	5064	6
pp1310165	Ralstonia pseudosolanacearum	UP001776025	f	4953	6
pp1310165	Ralstonia pseudosolanacearum	UP001727227	f	5001	6
pp1310165	Ralstonia pseudosolanacearum	UP001784949	f	4912	5
pp1310165	Ralstonia pseudosolanacearum	UP001784947	f	4894	5
pp1310165	Ralstonia pseudosolanacearum	UP001785020	f	4960	5
pp1310165	Ralstonia pseudosolanacearum	UP001784868	f	5015	5
pp1310165	Ralstonia pseudosolanacearum	UP001784813	f	4883	5
pp1310165	Ralstonia pseudosolanacearum	UP001859726	f	4549	4
pp1310165	Ralstonia pseudosolanacearum	UP001785022	f	5021	4
pp1310165	Ralstonia pseudosolanacearum	UP001779332	f	4807	4
pp1310165	Ralstonia pseudosolanacearum	UP001727255	f	4911	4
pp1310165	Ralstonia pseudosolanacearum	UP001299957	f	4780	4
pp1310165	Ralstonia pseudosolanacearum	UP001299851	f	4914	4
pp1310165	Ralstonia pseudosolanacearum	UP001168794	f	4915	4
pp1310165	Ralstonia pseudosolanacearum	UP001796343	f	4811	3
pp1310165	Ralstonia pseudosolanacearum	UP001785062	f	4879	3
pp1310165	Ralstonia pseudosolanacearum	UP001784956	f	4893	3
pp1310165	Ralstonia pseudosolanacearum	UP001784914	f	4965	3
pp1310165	Ralstonia pseudosolanacearum	UP001784950	f	4898	3
pp1310165	Ralstonia pseudosolanacearum	UP001784940	f	4891	3
pp1310165	Ralstonia pseudosolanacearum	UP001784818	f	4925	3
pp1310165	Ralstonia pseudosolanacearum	UP001784874	f	4974	3
pp1310165	Ralstonia pseudosolanacearum	UP001784829	f	4875	3
pp1310165	Ralstonia pseudosolanacearum	UP001727261	f	4935	3
pp1310165	Ralstonia pseudosolanacearum	UP001727178	f	4903	3
pp1310165	Ralstonia pseudosolanacearum	UP001727177	f	4939	3
pp1310165	Ralstonia pseudosolanacearum	UP001727169	f	5003	3
pp1310165	Ralstonia pseudosolanacearum	UP001548889	f	4905	3
pp1310165	Ralstonia pseudosolanacearum	UP001548871	f	4927	3
pp1310165	Ralstonia pseudosolanacearum	UP001377227	f	5019	3
pp1310165	Ralstonia pseudosolanacearum	UP001168776	f	4934	3
pp1310165	Ralstonia pseudosolanacearum	UP001784967	f	5038	2
pp1310165	Ralstonia pseudosolanacearum	UP001784839	f	4940	2
pp1310165	Ralstonia pseudosolanacearum	UP001784953	f	4917	2
pp1310165	Ralstonia pseudosolanacearum	UP001784898	f	4993	2
pp1310165	Ralstonia pseudosolanacearum	UP001784872	f	5021	2
pp1310165	Ralstonia pseudosolanacearum	UP001784815	f	4885	2
pp1310165	Ralstonia pseudosolanacearum	UP001727276	f	4926	2
pp1310165	Ralstonia pseudosolanacearum	UP001727289	f	4919	2
pp1310165	Ralstonia pseudosolanacearum	UP001727189	f	4908	2
pp1310165	Ralstonia pseudosolanacearum	UP001727229	f	4880	2
pp1310165	Ralstonia pseudosolanacearum	UP001725438	f	4832	2
pp1310165	Ralstonia pseudosolanacearum	UP001168815	f	4920	2
pp1310165	Ralstonia pseudosolanacearum	UP001168793	f	4906	2
pp1310165	Ralstonia pseudosolanacearum	UP001168111	f	4780	2
pp1310165	Ralstonia pseudosolanacearum	UP001058994	f	4585	2
pp1310165	Ralstonia pseudosolanacearum	UP001791144	f	4965	1
pp1310165	Ralstonia pseudosolanacearum	UP001791111	f	5054	1
pp1310165	Ralstonia pseudosolanacearum	UP001785060	f	4892	1
pp1310165	Ralstonia pseudosolanacearum	UP001784957	f	4871	1
pp1310165	Ralstonia pseudosolanacearum	UP001784961	f	4833	1
pp1310165	Ralstonia pseudosolanacearum	UP001784877	f	5029	1
pp1310165	Ralstonia pseudosolanacearum	UP001784814	f	4878	1
pp1310165	Ralstonia pseudosolanacearum	UP001727257	f	4964	1
pp1310165	Ralstonia pseudosolanacearum	UP001727213	f	4920	1
pp1310165	Ralstonia pseudosolanacearum	UP001727211	f	4893	1
pp1310165	Ralstonia pseudosolanacearum	UP001727195	f	4918	1
pp1310165	Ralstonia pseudosolanacearum	UP001727225	f	4909	1
pp1310165	Ralstonia pseudosolanacearum	UP001727190	f	5008	1
pp1310165	Ralstonia pseudosolanacearum	UP001674817	f	4861	1
pp1310165	Ralstonia pseudosolanacearum	UP001548857	f	4863	1
pp1310165	Ralstonia pseudosolanacearum	UP001548856	f	4737	1
pp1310165	Ralstonia pseudosolanacearum	UP001168814	f	4828	1
pp1310165	Ralstonia pseudosolanacearum	UP001168716	f	4861	1
pp1310165	Ralstonia pseudosolanacearum	UP001164554	f	4549	1
pp1310165	Ralstonia pseudosolanacearum	UP001674816	f	4933	0
pp1310165	Ralstonia pseudosolanacearum	UP001674931	f	4855	0
pp1310165	Ralstonia pseudosolanacearum	UP001727291	f	4912	0
pp1310165	Ralstonia pseudosolanacearum	UP001727293	f	4877	0
pp1310165	Ralstonia pseudosolanacearum	UP001727273	f	4911	0
pp1310165	Ralstonia pseudosolanacearum	UP001727313	f	4906	0
pp1310165	Ralstonia pseudosolanacearum	UP001727275	f	4927	0
pp1310165	Ralstonia pseudosolanacearum	UP001727274	f	4907	0
pp1310165	Ralstonia pseudosolanacearum	UP001727322	f	4790	0
pp1310165	Ralstonia pseudosolanacearum	UP001727253	f	4901	0
pp1310165	Ralstonia pseudosolanacearum	UP001727245	f	4911	0
pp1310165	Ralstonia pseudosolanacearum	UP001727243	f	4844	0
